alpha,attack,defense,source,cfg,seed,exp,epoch,test_acc,test_acc_pct,test_loss,path
1,MinSum,NormClipping,legacy_public_baseline,FedAvg_CIFAR100_config,42,0,199,0.248100,24.8100,0.048400,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_MinSum_NormClipping_200_20_0.05_FedAvg_adv0.2_seed42_alpha1_cfgFedAvg_CIFAR100_config_exp0.txt
1,MinSum,NormClipping,legacy_public_baseline,FedAvg_CIFAR100_config,43,1,199,0.247200,24.7200,0.048400,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_MinSum_NormClipping_200_20_0.05_FedAvg_adv0.2_seed43_alpha1_cfgFedAvg_CIFAR100_config_exp1.txt
1,MinSum,NormClipping,legacy_public_baseline,FedAvg_CIFAR100_config,44,2,199,0.256400,25.6400,0.048100,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_MinSum_NormClipping_200_20_0.05_FedAvg_adv0.2_seed44_alpha1_cfgFedAvg_CIFAR100_config_exp2.txt
1,MinSum,NormClipping,legacy_public_baseline,FedAvg_CIFAR100_config,45,3,199,0.246300,24.6300,0.048800,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_MinSum_NormClipping_200_20_0.05_FedAvg_adv0.2_seed45_alpha1_cfgFedAvg_CIFAR100_config_exp3.txt
1,MinSum,NormClipping,legacy_public_baseline,FedAvg_CIFAR100_config,46,4,199,0.238800,23.8800,0.048800,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_MinSum_NormClipping_200_20_0.05_FedAvg_adv0.2_seed46_alpha1_cfgFedAvg_CIFAR100_config_exp4.txt
1,MinSum,TrimmedMean,final_locked_protocol,FedAvg_CIFAR100_Resnet18_protocol,42,0,199,0.569700,56.9700,0.024000,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_MinSum_TrimmedMean_200_20_0.05_FedAvg_adv0.2_seed42_alpha1_cfgFedAvg_CIFAR100_Resnet18_protocol_exp0.txt
1,MinSum,TrimmedMean,final_locked_protocol,FedAvg_CIFAR100_Resnet18_protocol,43,1,199,0.562100,56.2100,0.024300,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_MinSum_TrimmedMean_200_20_0.05_FedAvg_adv0.2_seed43_alpha1_cfgFedAvg_CIFAR100_Resnet18_protocol_exp1.txt
1,MinSum,TrimmedMean,final_locked_protocol,FedAvg_CIFAR100_Resnet18_protocol,44,2,199,0.579400,57.9400,0.023800,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_MinSum_TrimmedMean_200_20_0.05_FedAvg_adv0.2_seed44_alpha1_cfgFedAvg_CIFAR100_Resnet18_protocol_exp2.txt
0.5,ALIE,CARAT,final_locked_protocol,FedAvg_CIFAR100_Resnet18_protocol,42,0,199,0.504900,50.4900,0.028100,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_ALIE_CARAT_200_20_0.05_FedAvg_adv0.2_seed42_alpha0.5_cfgFedAvg_CIFAR100_Resnet18_protocol_exp0.txt
0.5,ALIE,CARAT,final_locked_protocol,FedAvg_CIFAR100_Resnet18_protocol,43,1,199,0.488900,48.8900,0.029800,/home/cnlab-pu/Projects/Poisoning_Resilient_Federated_Learning_Playground/FedAvg/CIFAR100_resnet18/non-iid/CIFAR100_resnet18_non-iid_ALIE_CARAT_200_20_0.05_FedAvg_adv0.2_seed43_alpha0.5_cfgFedAvg_CIFAR100_Resnet18_protocol_exp1.txt
