iid,alpha,num_clients,attack,defense,mean,std,n,seeds,last_epoch_min,last_epoch_max
non-iid,0.5,60,MinSum,FLDetector,0.026000000000000002,0.00044721359549995866,5,"42,43,44,45,46",199,199
non-iid,0.5,60,MinSum,TriGuardFL,0.025460000000000003,0.00030724582991474407,5,"42,43,44,45,46",199,199
non-iid,0.5,60,NoAttack,NoAttack+Mean(Base),0.025259999999999998,0.00043174066289845754,5,"42,43,44,45,46",199,199
non-iid,0.1,20,ALIE,Mean,0.03578,0.00027129319932501193,5,"42,43,44,45,46",199,199
non-iid,0.1,20,ALIE,NormClipping,0.05281999999999999,0.0004069397989875176,5,"42,43,44,45,46",199,199
non-iid,0.1,20,ALIE,MultiKrum,0.04934,0.002972271858360201,5,"42,43,44,45,46",199,199
non-iid,0.1,20,ALIE,FLTrust,0.046560000000000004,0.0006118823416311342,5,"42,43,44,45,46",199,199
non-iid,0.1,20,ALIE,FLDetector,0.038919999999999996,0.0011805083650698954,5,"42,43,44,45,46",199,199
non-iid,0.1,20,ALIE,TriGuardFL,0.03556,0.0006829348431585557,5,"42,43,44,45,46",199,199
non-iid,0.1,20,FangAttack,Mean,0.052039999999999996,0.007535675152234203,5,"42,43,44,45,46",199,199
non-iid,0.1,20,FangAttack,NormClipping,0.05994000000000001,0.0007059745037889124,5,"42,43,44,45,46",199,199
non-iid,0.1,20,FangAttack,MultiKrum,0.0514,0.0015414279094398168,5,"42,43,44,45,46",199,199
non-iid,0.1,20,FangAttack,FLTrust,0.045919999999999996,0.0004707440918375915,5,"42,43,44,45,46",199,199
non-iid,0.1,20,FangAttack,FLDetector,0.06978,0.009556233567677175,5,"42,43,44,45,46",199,199
non-iid,0.1,20,FangAttack,TriGuardFL,0.033699999999999994,0.000509901951359279,5,"42,43,44,45,46",199,199
non-iid,0.1,20,MinMax,Mean,0.0339,0.00046043457732885526,5,"42,43,44,45,46",199,199
non-iid,0.1,20,MinMax,NormClipping,0.053959999999999994,0.00027276363393971667,5,"42,43,44,45,46",199,199
non-iid,0.1,20,MinMax,MultiKrum,0.03798,0.0009579144011862416,5,"42,43,44,45,46",199,199
non-iid,0.1,20,MinMax,FLTrust,0.045939999999999995,0.00041761226035642217,5,"42,43,44,45,46",199,199
non-iid,0.1,20,MinMax,FLDetector,0.03382,0.0004833218389437834,5,"42,43,44,45,46",199,199
non-iid,0.1,20,MinMax,TriGuardFL,0.033659999999999995,0.00034985711369071935,5,"42,43,44,45,46",199,199
non-iid,0.1,20,MinSum,Mean,0.03406,0.0004079215610874242,5,"42,43,44,45,46",199,199
non-iid,0.1,20,MinSum,NormClipping,0.05432,0.0002785677655436825,5,"42,43,44,45,46",199,199
non-iid,0.1,20,MinSum,MultiKrum,0.03972,0.0005114684741017776,5,"42,43,44,45,46",199,199
non-iid,0.1,20,MinSum,FLTrust,0.0461,0.0003687817782917152,5,"42,43,44,45,46",199,199
non-iid,0.1,20,MinSum,FLDetector,0.034140000000000004,0.0006499230723708783,5,"42,43,44,45,46",199,199
non-iid,0.1,20,MinSum,TriGuardFL,0.03362,0.00033105890714493546,5,"42,43,44,45,46",199,199
non-iid,0.1,20,NoAttack,NoAttack+Mean(Base),0.0312,0.00046043457732885347,5,"42,43,44,45,46",199,199
non-iid,0.1,40,ALIE,Mean,0.03458,0.0006939740629159,5,"42,43,44,45,46",199,199
non-iid,0.1,40,ALIE,NormClipping,0.05242,0.00044452221541785677,5,"42,43,44,45,46",199,199
non-iid,0.1,40,ALIE,MultiKrum,0.05517999999999999,0.0007277362159464097,5,"42,43,44,45,46",199,199
non-iid,0.1,40,ALIE,FLTrust,0.04664,0.0004673328578219161,5,"42,43,44,45,46",199,199
